web-scraper-order,web-scraper-start-url,title,address,price,livingSpace,rooms,tag1,tag2,linkRef
"1609406542-2873","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=57","null","Grunewald, Berlin","380.000 €","82 m²","2 Zi.2","Balkon/Terrasse","Einbauküche","/expose/114992831"
"1609406476-2676","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=67","null","Prenzlauer Berg, Berlin","259.000 €","55 m²","2 Zi.2","Einbauküche","Keller","/expose/125369174"
"1609406830-3648","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=18","null","Okerstraße 12, Neukölln (Ortsteil), Berlin","190.944 €","37,44 m²","1 Zi.1","Online-Besichtigung","Provisionsfrei*","/expose/114544978"
"1609406617-3090","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=46","null","Warschauer Straße 10, Friedrichshain, Berlin","442.794,85 €","69,42 m²","2 Zi.2","Online-Besichtigung","Balkon/Terrasse","/expose/124185894"
"1609406482-2682","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=66","null","Lichterfelde, Berlin","145.000 €","45,27 m²","2 Zi.2","Einbauküche","Garten","/expose/125503891"
"1609406229-2072","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=97","null","Charlottenburg, Berlin","1.354.716 €","186,86 m²","5 Zi.5","Online-Besichtigung","Balkon/Terrasse","/expose/125346237"
"1609406931-3925","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=4","NEUFRITZ","Fritz-Kirsch-Zeile 18, Oberschöneweide, Berlin","205.000 - 620.000 €","39,00 - 114,00 m²","1. Quartal 2023","Online-Besichtigung","null","https://www.immobilienscout24.de/neubau/everestate/fritz/96335.html"
"1609406725-3407","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=30","null","Wundtstraße 24._e, Charlottenburg, Berlin","779.000 €","167,2 m²","5 Zi.5","Online-Besichtigung","Balkon/Terrasse","/expose/124970324"
"1609406625-3107","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=45","null","Pettenkoferstraße 2b, Friedrichshain, Berlin","328.000 €","87,03 m²","3 Zi.3","Provisionsfrei*","Balkon/Terrasse","/expose/124531841"
"1609406456-2608","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=70","null","Spandau (Ortsteil), Berlin","199.000 €","57 m²","2 Zi.2","Online-Besichtigung","Einbauküche","/expose/125343730"
