web-scraper-order,web-scraper-start-url,title,address,price,livingSpace,rooms,tag1,tag2,linkRef
1609153855-782,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=61,null,"Lichtenrade, Berlin",189.00 €,56 m²,2 Zi.2,Balkon/Terrasse,Einbauküche,/expose/122980047
1609154074-1434,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=29,null,"Charlottenburg, Berlin",1.276.000 €,"92,4 m²",3 Zi.3,Balkon/Terrasse,Garten,/expose/122250766
1609153803-641,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=68,null,"Hansaviertel, Berlin",220.00 €,35 m²,1 Zi.1,Balkon/Terrasse,Keller,/expose/116086079
1609154086-1479,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=27,null,"Wichertstraße 43, Prenzlauer Berg, Berlin",467.00 €,"71,91 m²",2 Zi.2,Provisionsfrei*,Keller,/expose/125059275
1609153967-1111,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=45,null,"Französisch Buchholz, Berlin",399.00 €,108 m²,4 Zi.4,Provisionsfrei*,Balkon/Terrasse,/expose/125144757
1609154029-1299,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=36,null,"Sprengelstraße 39, Wedding, Berlin",189.00 €,"51,8 m²",2 Zi.2,null,null,/expose/121559880
1609153765-542,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=73,null,"Pettenkoferstr. 42, Friedrichshain, Berlin",207.14 €,"44,01 m²",2 Zi.2,Einbauküche,Keller,/expose/125091900
1609153910-957,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=53,null,"Halensee, Berlin",295.00 €,60 m²,1 Zi.1,Balkon/Terrasse,Einbauküche,/expose/117890935
1609153809-674,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=67,null,"Wilmersdorf, Berlin",1.750.000 €,242 m²,4 Zi.4,Balkon/Terrasse,Einbauküche,/expose/117562930
1609153590-7,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=100,null,"Spandau (Ortsteil), Berlin",462.95 €,"98,5 m²",3 Zi.3,Online-Besichtigung,Balkon/Terrasse,/expose/119159652
